Player,Total Kills,Missions,Avg Kills/Mission
"Choko, the Archivist",9843,39,252.3846153846154
Democratically Elected Uma🐴,9015,28,321.9642857142857
DarkCammando || Napalm Cowboy,7438,22,338.09090909090907
Brynhilda | SES Lady of Liberty,6179,30,205.96666666666667
I like birds,4915,22,223.4090909090909
EthanP117,4760,19,250.52631578947367
JJCP2607 | SES Force of Liberty,3297,25,131.88
MonstaMango,2525,23,109.78260869565217
Azure | Binary Translator,2108,16,131.75
Rinne | Soul of Determination,2026,13,155.84615384615384
Aingar | Knight of Twilight,1858,8,232.25
tactical eng.,1838,7,262.57142857142856
Pvt.Giggles | Hammer of Justice,1633,9,181.44444444444446
Commander Ordo,1595,8,199.375
Cotton Photon,1508,7,215.42857142857142
NecroTree | Super Sample Eater,1403,11,127.54545454545455
"Astraflare, PP main (plas pun)",999,7,142.71428571428572
SES Patriot of Patriotism,626,3,208.66666666666666
Coloris,399,3,133.0
Knightmare~~,381,3,127.0
Vanetsu,248,1,248.0
Mexes15,224,2,112.0
Meratyn,151,1,151.0
Finny,65,1,65.0
